CropID,CropName,IntercropRank1 (Best),IntercropRank2 (Better),IntercropRank3 (Good),KeyBenefits,PestDiseaseManagement,SoilTypeNutrientsRequired
1,Rice,Green gram 2 rows rice : 1 row moong,Black gram 2 rows rice : 1 row urd,Sesbania relay cropping,Nitrogen fixation weed control soil health,Blast sheath blight rotation,Clay loam high organic N P K
2,Wheat,Mustard 6 rows wheat : 2 rows mustard,Chickpea 6 rows wheat : 2 rows chickpea,Lentil 4 rows wheat : 2 rows lentil,Nitrogen fixation pest control yield stability,Rusts aphids crop rotation,Loam to clay loam high N P K
3,Maize,Cowpea 2 rows maize : 1 row cowpea,Soybean 2 rows maize : 2 rows soybean,Pumpkin 2 rows maize : 1 row pumpkin,Nitrogen fixation soil cover,Stem borer wilt mixed cropping,Sandy loam well drained N P K
4,Barley,Pea 4 rows barley : 2 rows pea,Chickpea 4 rows barley : 2 rows chickpea,Lentil 4 rows barley : 2 rows lentil,Nitrogen fixation pest control,Rusts aphids crop rotation,Sandy loam to loam moderate N P K
5,Jowar (Sorghum),Cowpea 2 rows jowar : 1 row cowpea,Pigeon pea 2 rows jowar : 1 row tur,Clusterbean 2 rows jowar : 1 row guar,Nitrogen fixation drought tolerance fodder,Shoot fly midge resistant varieties,Sandy loam low fertility N P
6,Bajra,Cowpea 2 rows bajra : 1 row cowpea,Green gram 2 rows bajra : 1 row moong,Pigeon pea 2 rows bajra : 1 row tur,Nitrogen fixation drought tolerance fodder,Downy mildew smut rotation,Sandy loam low fertility N P
7,Mustard,Wheat 6 rows wheat : 2 rows mustard,Chickpea 6 rows wheat : 2 rows chickpea,Lentil 4 rows wheat : 2 rows lentil,Yield stability pest control,Aphids alternaria mixed cropping,Sandy loam well drained S P K
8,Gram (Chickpea),Linseed 4 rows gram : 2 rows linseed,Wheat 6 rows wheat : 2 rows chickpea,Safflower 4 rows gram : 2 rows safflower,Yield stability pest control nitrogen fixation,Wilt pod borer rotation,Sandy loam well drained N P K
9,Lentil,Wheat 4 rows wheat : 2 rows lentil,Linseed 4 rows lentil : 2 rows linseed,Chickpea 4 rows lentil : 2 rows chickpea,Yield stability pest control nitrogen fixation,Rust wilt aphids rotation,Sandy loam neutral pH N P
10,Pea,Wheat 4 rows wheat : 2 rows pea,Potato 2 rows pea : 1 row potato,Carrot 2 rows pea : 1 row carrot,Yield stability pest control nitrogen fixation,Powdery mildew aphids rotation,Loam to clay loam high organic N P
11,Pigeonpea,Bajra 1 row pigeonpea : 2 rows bajra,Maize 1 row pigeonpea : 2 rows maize,Soybean 1 row pigeonpea : 2 rows soybean,Nitrogen fixation drought resilience,Wilt pod borer rotation,Sandy loam well drained N P
12,Green gram,Bajra 2 rows bajra : 1 row moong,Maize 2 rows maize : 1 row moong,Sesame 2 rows moong : 1 row sesame,Nitrogen fixation soil improvement,Leaf spot wilt rotation,Sandy loam neutral pH N
13,Black gram,Rice 2 rows rice : 1 row urd,Bajra 2 rows bajra : 1 row urd,Maize 2 rows maize : 1 row urd,Nitrogen fixation soil improvement,Leaf spot wilt rotation,Sandy loam neutral pH N
14,Soybean,Maize 2 rows maize : 2 rows soybean,Pigeonpea 2 rows soybean : 1 row tur,Sorghum 2 rows soybean : 1 row jowar,Nitrogen fixation weed suppression,Root rot rotation,Loam to clay loam high organic N P K
15,Groundnut,Pearl millet 2 rows groundnut : 1 row bajra,Pigeon pea 2 rows groundnut : 1 row tur,Sorghum 2 rows groundnut : 1 row jowar,Nitrogen fixation soil improvement,Leaf spot collar rot rotation,Sandy loam well drained Ca N P
16,Sunflower,Green gram 2 rows sunflower : 1 row moong,Black gram 2 rows sunflower : 1 row urd,Soybean 2 rows sunflower : 1 row soybean,Nitrogen fixation soil health,Rust wilt rotation,Loam to sandy loam high organic N P
17,Cotton,Black gram 1 row cotton : 1 row urd,Green gram 1 row cotton : 1 row moong,Sorghum 1 row cotton : 1 row jowar,Nitrogen fixation yield stability,Bollworm wilt rotation,Sandy loam well drained N P K
18,Potato,Pea 2 rows potato : 1 row pea,Onion 2 rows potato : 1 row onion,Garlic 2 rows potato : 1 row garlic,Pest control yield stability,Late blight rotation,Sandy loam high organic N P K
19,Tomato,Marigold 1 row tomato : 1 row marigold,Onion 1 row tomato : 1 row onion,Garlic 1 row tomato : 1 row garlic,Pest control pollinator attraction,Nematode wilt rotation,Sandy loam high organic N P
20,Brinjal,Cowpea 1 row brinjal : 1 row cowpea,Marigold 1 row brinjal : 1 row marigold,Onion 1 row brinjal : 1 row onion,Pest control nitrogen fixation,Shoot borer wilt rotation,Sandy loam high organic N P
21,Chilli,Marigold 1 row chilli : 1 row marigold,Onion 1 row chilli : 1 row onion,Coriander 1 row chilli : 1 row coriander,Pest control pollinator attraction,Thrips wilt rotation,Sandy loam high organic N P
22,Okra,Cowpea 1 row okra : 1 row cowpea,Marigold 1 row okra : 1 row marigold,Onion 1 row okra : 1 row onion,Pest control nitrogen fixation,Yellow vein mosaic rotation,Sandy loam high organic N P
23,Cabbage,Coriander 1 row cabbage : 1 row coriander,Onion 1 row cabbage : 1 row onion,Marigold 1 row cabbage : 1 row marigold,Pest control pollinator attraction,Diamondback moth rotation,Sandy loam high organic N P
24,Cauliflower,Coriander 1 row cauliflower : 1 row coriander,Onion 1 row cauliflower : 1 row onion,Marigold 1 row cauliflower : 1 row marigold,Pest control pollinator attraction,Diamondback moth rotation,Sandy loam high organic N P
25,Carrot,Onion 1 row carrot : 1 row onion,Pea 2 rows carrot : 1 row pea,Radish 1 row carrot : 1 row radish,Pest control yield stability,Root fly rotation,Sandy loam loose high organic N K
26,Radish,Pea 2 rows radish : 1 row pea,Carrot 1 row radish : 1 row carrot,Onion 1 row radish : 1 row onion,Pest control nitrogen fixation,Root fly rotation,Sandy loam loose high organic N K
27,Beetroot,Onion 1 row beetroot : 1 row onion,Pea 2 rows beetroot : 1 row pea,Carrot 1 row beetroot : 1 row carrot,Pest control nitrogen fixation,Leaf spot rotation,Sandy loam high organic N K
28,Turnip,Pea 2 rows turnip : 1 row pea,Onion 1 row turnip : 1 row onion,Radish 1 row turnip : 1 row radish,Pest control nitrogen fixation,Root fly rotation,Sandy loam high organic N K
29,Onion,Carrot 1 row onion : 1 row carrot,Beetroot 1 row onion : 1 row beetroot,Coriander 1 row onion : 1 row coriander,Pest control yield stability,Thrips rot rotation,Sandy loam high organic N K
30,Garlic,Pea 2 rows garlic : 1 row pea,Onion 1 row garlic : 1 row onion,Carrot 1 row garlic : 1 row carrot,Pest control yield stability,Thrips rot rotation,Sandy loam high organic N K
31,Ginger,Turmeric 1 row ginger : 1 row turmeric,Castor 1 row ginger : 1 row castor,Banana 1 row ginger : 1 row banana,Shade moisture weed control,Rhizome rot rotation,Sandy loam high organic N K
32,Turmeric,Ginger 1 row turmeric : 1 row ginger,Castor 1 row turmeric : 1 row castor,Banana 1 row turmeric : 1 row banana,Shade moisture weed control,Rhizome rot rotation,Sandy loam high organic N K
33,Sugarcane,Potato 2 rows sugarcane : 1 row potato,Onion 2 rows sugarcane : 1 row onion,Mustard 2 rows sugarcane : 1 row mustard,Yield stability pest control,Red rot smut rotation,Loam to clay loam high organic N P K
34,Tobacco,Onion 1 row tobacco : 1 row onion,Garlic 1 row tobacco : 1 row garlic,Sunflower 1 row tobacco : 1 row sunflower,Pest control weed suppression,Mosaic leaf spot rotation,Sandy loam well drained N P K
35,Safflower,Chickpea 4 rows safflower : 2 rows chickpea,Wheat 4 rows safflower : 2 rows wheat,Linseed 4 rows safflower : 2 rows linseed,Nitrogen fixation pest control,Aphid wilt rotation,Sandy loam well drained N P
36,Linseed,Chickpea 4 rows linseed : 2 rows chickpea,Wheat 4 rows linseed : 2 rows wheat,Safflower 4 rows linseed : 2 rows safflower,Nitrogen fixation pest control,Rust wilt rotation,Sandy loam well drained N P
37,Sesame,Pearl millet 2 rows sesame : 1 row bajra,Green gram 2 rows sesame : 1 row moong,Sorghum 2 rows sesame : 1 row jowar,Nitrogen fixation drought tolerance,Leaf spot wilt rotation,Sandy loam well drained N P
38,Castor,Pigeonpea 1 row castor : 1 row tur,Green gram 1 row castor : 1 row moong,Black gram 1 row castor : 1 row urd,Nitrogen fixation pest control,Leaf spot wilt rotation,Sandy loam well drained N P
39,Coconut,Black pepper 1 row coconut : 1 row pepper,Pineapple 1 row coconut : 1 row pineapple,Banana 1 row coconut : 1 row banana,Shade soil cover income diversification,Bud rot leaf spot rotation,Sandy loam well drained K Mg
40,Arecanut,Black pepper 1 row arecanut : 1 row pepper,Banana 1 row arecanut : 1 row banana,Pineapple 1 row arecanut : 1 row pineapple,Shade soil cover income diversification,Yellow leaf disease rotation,Sandy loam well drained K Mg
41,Coffee,Black pepper 1 row coffee : 1 row pepper,Banana 1 row coffee : 1 row banana,Cardamom 1 row coffee : 1 row cardamom,Shade soil cover weed control,Leaf rust berry borer rotation,Sandy loam high organic K
42,Tea,Black pepper 1 row tea : 1 row pepper,Ginger 1 row tea : 1 row ginger,Cardamom 1 row tea : 1 row cardamom,Shade soil cover weed control,Blister blight rotation,Sandy loam high organic K
43,Banana,Pineapple 1 row banana : 1 row pineapple,Ginger 1 row banana : 1 row ginger,Turmeric 1 row banana : 1 row turmeric,Shade weed control soil health,Panama wilt rotation,Sandy loam high organic K
44,Pineapple,Banana 1 row pineapple : 1 row banana,Ginger 1 row pineapple : 1 row ginger,Turmeric 1 row pineapple : 1 row turmeric,Shade weed control soil health,Heart rot rotation,Sandy loam high organic K
45,Papaya,Cowpea 1 row papaya : 1 row cowpea,Marigold 1 row papaya : 1 row marigold,Sunflower 1 row papaya : 1 row sunflower,Nitrogen fixation pest control,Ring spot virus rotation,Sandy loam high organic N K
46,Mango,Cowpea 1 row mango : 1 row cowpea,Black gram 1 row mango : 1 row urd,Green gram 1 row mango : 1 row moong,Nitrogen fixation weed control,Anthracnose powdery mildew rotation,Sandy loam well drained N K
47,Guava,Cowpea 1 row guava : 1 row cowpea,Black gram 1 row guava : 1 row urd,Green gram 1 row guava : 1 row moong,Nitrogen fixation weed control,Wilt fruit fly rotation,Sandy loam well drained N K
48,Citrus,Cowpea 1 row citrus : 1 row cowpea,Black gram 1 row citrus : 1 row urd,Green gram 1 row citrus : 1 row moong,Nitrogen fixation weed control,Canker wilt rotation,Sandy loam well drained N K
49,Sapota,Cowpea 1 row sapota : 1 row cowpea,Black gram 1 row sapota : 1 row urd,Green gram 1 row sapota : 1 row moong,Nitrogen fixation weed control,Leaf spot wilt rotation,Sandy loam well drained N K
50,Pomegranate,Cowpea 1 row pomegranate : 1 row cowpea,Black gram 1 row pomegranate : 1 row urd,Green gram 1 row pomegranate : 1 row moong,Nitrogen fixation weed control,Wilt fruit borer rotation,Sandy loam well drained N K
51,Ber,Cowpea 1 row ber : 1 row cowpea,Black gram 1 row ber : 1 row urd,Green gram 1 row ber : 1 row moong,Nitrogen fixation weed control,Leaf spot wilt rotation,Sandy loam well drained N K
52,Amla,Cowpea 1 row amla : 1 row cowpea,Black gram 1 row amla : 1 row urd,Green gram 1 row amla : 1 row moong,Nitrogen fixation weed control,Leaf spot wilt rotation,Sandy loam well drained N K
53,Apple,Clover 1 row apple : 1 row clover,Pea 1 row apple : 1 row pea,Mustard 1 row apple : 1 row mustard,Nitrogen fixation pollinator attraction,Scab powdery mildew rotation,Loam to clay loam high organic N P K
54,Pear,Clover 1 row pear : 1 row clover,Pea 1 row pear : 1 row pea,Mustard 1 row pear : 1 row mustard,Nitrogen fixation pollinator attraction,Scab powdery mildew rotation,Loam to clay loam high organic N P K
55,Plum,Clover 1 row plum : 1 row clover,Pea 1 row plum : 1 row pea,Mustard 1 row plum : 1 row mustard,Nitrogen fixation pollinator attraction,Scab powdery mildew rotation,Loam to clay loam high organic N P K
56,Peach,Clover 1 row peach : 1 row clover,Pea 1 row peach : 1 row pea,Mustard 1 row peach : 1 row mustard,Nitrogen fixation pollinator attraction,Leaf curl powdery mildew rotation,Loam to clay loam high organic N P K
57,Grapes,Cowpea 1 row grapes : 1 row cowpea,Black gram 1 row grapes : 1 row urd,Green gram 1 row grapes : 1 row moong,Nitrogen fixation weed control,Anthracnose powdery mildew rotation,Sandy loam well drained N K
